학원교습소명,학원명,개설일자,등록일자,등록상태명,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정명,도로명우편번호,도로명주소,도로명상세주소,구,lat,lon
학원,엘림잉글리시학원,20221128,20221128,개원,240,64,입시.검정 및 보습,보통교과,보습,13625,경기도 성남시 분당구 미금로 45,/ 211호 (구미동/ 진도훼미리프라자),분당구,37.337387125,127.115823862
교습소,엘림피아노교습소,20050317,20050317,개원,35,5,예능(대),예능(중),음악,463914,경기도 성남시 분당구 불정로 219,(정자동/한솔마을) 근린상가 B116호,분당구,37.364381017,127.123299735
교습소,엘림피아노리음악교습소,20050214,20050214,개원,12,4,예능(대),예능(중),음악,463927,경기도 성남시 분당구 야탑로 124,(야탑동/탑마을) 벽산상가206/ 207호,분당구,37.409233159,127.132801884
교습소,엘소리피아노교습소,19951219,19951219,개원,27,3,예능(대),예능(중),음악,463818,경기도 성남시 분당구 불정로 379,(서현동/분당서현프라자)  103-3,분당구,37.374359756,127.136415698
학원,엘씨엘학원,20170126,20170126,개원,1705,142,종합(대),,,13523,경기도 성남시 분당구 성남대로779번길 56,/ 3층 일부 (이매동/ 한풍상가),분당구,37.399498007,127.122344190
학원,엘엠수학전문학원,20091228,20091228,개원,90,77,입시.검정 및 보습,보통교과,보습,463806,경기도 성남시 분당구 판교로 436,(이매동/홍우프라자) 2층 1/2호,분당구,37.405181906,127.122197806
학원,엘제이댄스학원,20211025,20211025,개원,150,47,예능(대),예능(중),무용,13591,경기도 성남시 분당구 황새울로312번길 20,/ 305호 (서현동/ 분당태성빌딩),분당구,37.383025970,127.122074945
교습소,엘클랑(Elklang)음악교습소,20200309,20200309,개원,13,5,예능(대),예능(중),음악,13599,경기도 성남시 분당구 내정로166번길 42,/ 9호 (수내동/ 파크타운삼익아파트),분당구,37.370113192,127.121356300
교습소,엘피수학교습소,20110418,20110418,개원,12,4,입시.검정 및 보습,보통교과,보습,463864,경기도 성남시 분당구 돌마로 361,(수내동/동신코아빌딩) 408호,분당구,37.370585061,127.123030356
교습소,엘피아노교습소,20211102,20211102,개원,16,5,예능(대),예능(중),음악,13544,경기도 성남시 분당구 판교대장로7길 16,/ 210호 (대장동/ 힐스테이트 판교 엘포레 A6BL),분당구,37.372089723,127.068638998
학원,엠마즈잉글리쉬학원,20150811,20150811,개원,40,104,입시.검정 및 보습,보통교과,보습,463840,경기도 성남시 분당구 판교로 475,/ 403호/404호 (야탑동/ 굿모닝프라자),분당구,37.405673773,127.126704420
학원,엠브이보습학원,20110218,20110218,개원,96,64,입시.검정 및 보습,보통교과,보습,13466,경기도 성남시 분당구 운중로 140,/ 8층 801호 일부 (운중동/ 메트로골드),분당구,37.391252547,127.078532137
학원,엠브이투학원,20121220,20121220,개원,150,161,입시.검정 및 보습,보통교과,보습,13466,경기도 성남시 분당구 운중로 118,/ 803호 (운중동/ 스타타워),분당구,37.391390793,127.076059779
학원,엠비에이뷰티아카데미제2관학원,20211025,20211025,개원,200,51,직업기술,산업응용기술,이·미용,13591,경기도 성남시 분당구 분당로53번길 11,/ 5층 4호 (서현동/ 서원플라자),분당구,37.384068549,127.121552074
학원,엠비에이뷰티아카데미학원,20190925,20190925,개원,1328,65,직업기술,산업응용기술,이·미용,13591,경기도 성남시 분당구 분당로53번길 16,/ 502호 (서현동/ 정일빌딩),분당구,37.383979953,127.122418655
교습소,엠씨에이수학교습소,20221212,20221212,개원,8,4,입시.검정 및 보습,보통교과,보습,13589,경기도 성남시 분당구 중앙공원로40번길 8,/ 213호 일부 (서현동/ 현대근린상가),분당구,37.379709372,127.130164702
학원,엠씨엠아이음악학원,20121108,20121108,개원,3,52,예능(대),예능(중),음악,463872,경기도 성남시 분당구 정자일로 121,/ 2층 E-16호 (정자동/분당더샾스타파크 상가동),분당구,37.361322979,127.104866991
교습소,엠아이로봇컴퓨터교습소,20091204,20091204,개원,15,3,기타(대),기타(중),컴퓨터(소),463838,경기도 성남시 분당구 내정로173번길 49,(수내동/궁전프라자-3) 209호,분당구,37.377383949,127.115839932
학원,엠아이분당어학원,20161111,20161111,개원,6,254,국제화,외국어,실용외국어(유아/초·중·고),13555,경기도 성남시 분당구 성남대로 389,/ 801호/802호/803호 (정자동/ 폴라리스빌딩2),분당구,37.370846923,127.107483499
학원,엠아이클래식음악학원,20120813,20120813,개원,42,44,예능(대),예능(중),음악,463400,경기도 성남시 분당구 판교로 375,/ 601호 (삼평동/메가스페이스 1),분당구,37.404241633,127.115303839
